county,investment_window,project,year_of_completion,programme,funding_source,brief,category,investment_class,investment_type/water_supply,investment_type/sanitation,investment_type/water_resources,investment_exists_group/other_data/completed,investment_exists_group/other_data/date_completed,investment_exists_group/investment/branded,investment_exists_group/investment/branding_condition,investment_exists_group/sustainability/operational_status,sustainability/investment_needs_major_repair,investment_exists_group/sustainability/reliability,investment_exists_group/sustainability/condition_of_facility,investment_exists_group/sustainability/quality_of_work,investment_exists_group/sustainability/revenue_collected,sustainability/operations_responsibility,impact_and_gesi/operations_responsibility_GESI,impact_and_gesi/Number_of_people_beneficiaries_inc_children,investment_exists_group/impact_and_gesi/facility_hygiene_level,impact_and_gesi/functional_handwashing_facility,investment_exists_group/impact_and_gesi/water_quantity,investment_exists_group/impact_and_gesi/water_quality,investment_exists_group/impact_and_gesi/service_reliability,impact_and_gesi/service_reliability_hours_per_day,impact_and_gesi/service_reliability_days_per_month,impact_and_gesi/service_reliability_months_per_year,impact_and_gesi/facility_provisional_to/Disability,impact_and_gesi/facility_provisional_to/Gender,impact_and_gesi/facility_provisional_to/Age,investment_exists_group/Facility_picture,_GPS_location_latitude,_GPS_location_longitude,_GPS_location_altitude,_GPS_location_precision
Bomet,UIP,Longisa Mulot Water Company,2014/2015,UPC,KfW,"1 Kiosk, 266 Water Meters, 1 Tank",water_supply,pipeline,n/a,n/a,n/a,yes,41974,no,n/a,Non_operational,no,Seasonal,Good,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10815750?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548763163156.jpg,-0.938243293,35.42127497,1797,7
Bomet,UIP,Longisa Mulot Water Company,2014/2015,UPC,KfW,"1 Kiosk, 266 Water Meters, 1 Tank",water_supply,distribution_system,consumer_meter,n/a,n/a,yes,41974,n/a,n/a,Non_operational,no,n/a,Good,Fair,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10815751?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548763405997.jpg,-0.938049043,35.4213126,1806,7
Bomet,UIP,Longisa Mulot Water Company,2014/2015,UPC,KfW,"1 Kiosk, 266 Water Meters, 1 Tank",water_supply,pipeline_appurtenances,valve_chambers,n/a,n/a,yes,41974,no,n/a,Operational,no,Regular,Fair,Fair,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10815752?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548764060110.jpg,-0.911070546,35.41414808,1857,6
Bomet,UIP,Longisa Mulot Water Company,2014/2015,UPC,KfW,"1 Kiosk, 266 Water Meters, 1 Tank",water_supply,pipeline,n/a,n/a,n/a,yes,41974,no,n/a,Operational,no,Regular,Good,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10815756?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548764662201.jpg,-0.866746581,35.39608316,1954,6
Bomet,UIP,Longisa Mulot Water Company,2014/2015,UPC,KfW,"1 Kiosk, 266 Water Meters, 1 Tank",water_supply,pipeline_appurtenances,valve_chambers,n/a,n/a,yes,41974,no,n/a,Operational,no,Regular,Good,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10815762?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548764782703.jpg,-0.866765734,35.39605918,1949,5
Marsabit,RIP,Somare Primary School,2014/2015,MTAP I,Danida,"2 Four Door Vip Latrines, 920 Lts Handwashing Tank,Training and Branding",sanitation,institutional_sanitation,n/a,vip_latrine_regular,vip_latrine_regular,yes,42005,yes,Fair,Operational,no,n/a,Fair,Fair,n/a,n/a,n/a,464,Poor,no,n/a,n/a,n/a,n/a,n/a,n/a,FALSE,TRUE,FALSE,http://classic.ona.io/api/v1/files/10815987?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548749654989.jpg,3.528068773,39.03295104,1151,6
Marsabit,RIP,Somare Primary School,2014/2015,MTAP I,Danida,"2 Four Door Vip Latrines, 920 Lts Handwashing Tank,Training and Branding",sanitation,institutional_sanitation,n/a,vip_latrine_regular,vip_latrine_regular,yes,42370,yes,Good,Operational,no,n/a,Fair,Good,n/a,n/a,n/a,444,Fair,no,n/a,n/a,n/a,n/a,n/a,n/a,FALSE,TRUE,FALSE,http://classic.ona.io/api/v1/files/10815989?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548749610857.jpg,3.52796161,39.03277271,1148,4
Marsabit,RIP,Ramole Primary School,2014/2015,MTAP I,Danida,"2 Four Door Vip Latrines, 920 Lts Handwashing Tank,Training and Branding",sanitation,institutional_sanitation,n/a,vip_latrine_regular,vip_latrine_regular,yes,42005,yes,Fair,Operational,no,n/a,Poor,Poor,n/a,n/a,n/a,180,Poor,no,n/a,n/a,n/a,n/a,n/a,n/a,FALSE,FALSE,FALSE,http://classic.ona.io/api/v1/files/10816051?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548757412612.jpg,3.561712643,38.66065473,655,6
Marsabit,RIP,Rwan primary school sanitation project,2016/2017,MTAP II,EU Share,1No. 2 door VIP latrines,sanitation,institutional_sanitation,n/a,vip_latrine_regular,vip_latrine_regular,yes,42005,yes,Fair,Operational,no,n/a,Fair,Fair,n/a,n/a,n/a,72,Fair,no,n/a,n/a,n/a,n/a,n/a,n/a,FALSE,TRUE,FALSE,http://classic.ona.io/api/v1/files/10816177?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548760606460.jpg,3.344260217,38.46934517,590,6
Marsabit,RIP,Rawan Borehole sanitation project,2016/2017,MTAP II,EU Share,1No. 2 door VIP latrines,sanitation,community_sanitation_facility,n/a,vip_latrine_regular,vip_latrine_regular,yes,42005,yes,Fair,Partially_operational,yes,n/a,Poor,Poor,n/a,n/a,n/a,500,Poor,no,n/a,n/a,n/a,n/a,n/a,n/a,FALSE,FALSE,FALSE,http://classic.ona.io/api/v1/files/10816179?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548761923707.jpg,3.334493833,38.46561438,594,6
Nandi,RIP,Kimngâ€™oror Water Users association,2017/2018,J6P,"GoS, GoF","High lift pump,2No. 50m3 masonry tanks,13.2km pipeline,1 No.  CFU,4 No. water kiosks, 200 No. Consumer meters

",water_supply,distribution_system,consumer_meter,n/a,n/a,yes,43466,n/a,n/a,Operational,no,n/a,Fair,Fair,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10816227?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548842436639.jpg,0.494417329,34.95100225,2121,6
Nandi,RIP,Kimngâ€™oror Water Users association,2017/2018,J6P,"GoS, GoF","High lift pump,2No. 50m3 masonry tanks,13.2km pipeline,1 No.  CFU,4 No. water kiosks, 200 No. Consumer meters

",water_supply,pipeline,n/a,n/a,n/a,yes,43313,no,n/a,Operational,no,Regular,Fair,Fair,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10816228?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548844067738.jpg,0.495477975,34.95179912,2126,6
Nandi,RIP,Kimngâ€™oror Water Users association,2017/2018,J6P,"GoS, GoF","High lift pump,2No. 50m3 masonry tanks,13.2km pipeline,1 No.  CFU,4 No. water kiosks, 200 No. Consumer meters

",water_supply,pipeline_appurtenances,valve_chambers,n/a,n/a,yes,43313,no,n/a,Operational,no,Regular,Fair,Fair,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10816229?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548844257582.jpg,0.495478688,34.95174556,2120,6
Nandi,RIP,Kimngâ€™oror Water Users association,2017/2018,J6P,"GoS, GoF","High lift pump,2No. 50m3 masonry tanks,13.2km pipeline,1 No.  CFU,4 No. water kiosks, 200 No. Consumer meters

",water_supply,distribution_system,consumer_meter,n/a,n/a,yes,43374,n/a,n/a,Operational,no,n/a,Fair,Fair,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10816230?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548844901742.jpg,0.495040272,34.95307485,2118,6
Nandi,RIP,Kimngâ€™oror Water Users association,2017/2018,J6P,"GoS, GoF","High lift pump,2No. 50m3 masonry tanks,13.2km pipeline,1 No.  CFU,4 No. water kiosks, 200 No. Consumer meters

",water_supply,distribution_system,individual_connection,n/a,n/a,yes,43374,n/a,n/a,Operational,no,Regular,Fair,Fair,n/a,n/a,n/a,50,n/a,n/a,Abundant,Good,Hours_per_Day,18-24,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10816232?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548846878381.jpg,0.493383966,34.94626061,2100,6
Nandi,RIP,Kimngâ€™oror Water Users association,2017/2018,J6P,"GoS, GoF","High lift pump,2No. 50m3 masonry tanks,13.2km pipeline,1 No.  CFU,4 No. water kiosks, 200 No. Consumer meters

",water_supply,distribution_system,consumer_meter,n/a,n/a,yes,43374,n/a,n/a,Operational,no,n/a,Fair,Fair,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10816233?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548847023208.jpg,0.493350481,34.94627679,2098,6
Nandi,RIP,Kimngâ€™oror Water Users association,2017/2018,J6P,"GoS, GoF","High lift pump,2No. 50m3 masonry tanks,13.2km pipeline,1 No.  CFU,4 No. water kiosks, 200 No. Consumer meters

",water_supply,pump_energy_source,generating_set,n/a,n/a,yes,43252,no,n/a,Operational,no,Regular,Good,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Days_per_Month,n/a,8_16,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10816234?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548851717010.jpg,0.499861836,34.96257364,2012,6
Nandi,RIP,Kimngâ€™oror Sanitation,2017/2018,J6P,"GoS, GoF",6No. 2 door VIP latrine in 3schools,sanitation,institutional_sanitation,n/a,vip_latrine_regular,vip_latrine_regular,yes,43435,yes,Good,Operational,no,n/a,Fair,Fair,n/a,n/a,n/a,60,Good,no,n/a,n/a,n/a,n/a,n/a,n/a,TRUE,TRUE,TRUE,http://classic.ona.io/api/v1/files/10816236?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548853844096.jpg,0.502734063,34.96777059,2011,6
Nandi,RIP,Kimngâ€™oror Water Users association,2017/2018,J6P,"GoS, GoF","High lift pump,2No. 50m3 masonry tanks,13.2km pipeline,1 No.  CFU,4 No. water kiosks, 200 No. Consumer meters

",water_supply,distribution_system,water_kiosk,n/a,n/a,yes,43252,yes,Good,Operational,no,Regular,Good,Good,yes,Committee,Women,20,n/a,n/a,Abundant,Good,Hours_per_Day,06_12,n/a,n/a,TRUE,TRUE,TRUE,http://classic.ona.io/api/v1/files/10816237?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548854913122.jpg,0.502764951,34.96544888,2037,6
Nandi,RIP,Lelmokwo Sanitation project,2017/2018,J6P,"GoS, GoF",10No. 2 door VIP latrine in 6 schools,sanitation,institutional_sanitation,n/a,vip_latrine_regular,vip_latrine_regular,yes,43221,yes,Good,Operational,no,n/a,Good,Good,n/a,n/a,n/a,60,Fair,no,n/a,n/a,n/a,n/a,n/a,n/a,TRUE,TRUE,TRUE,http://classic.ona.io/api/v1/files/10816238?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548861710891.jpg,0.360307717,35.19475655,2042,6
Kiambu,UIP,Kiambaa Water Project,2013/2014,UPC,KfW,"1 Kiosk, 150 Consumer Meters, 5 Bulk Meters, 1 Tank",water_supply,distribution_system,water_kiosk,n/a,n/a,yes,41699,no,n/a,Non_operational,no,Rare_or_Not,Fair,Good,no,WSP_WU,Men,0,n/a,n/a,Shortages,unknown,Days_per_Month,n/a,8_16,n/a,FALSE,FALSE,FALSE,http://classic.ona.io/api/v1/files/10816249?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548681573781.jpg,-1.165609182,36.76111517,1895.33606,4
Marsabit,RIP,Funan qumbi water & sanitation project,2016/2017,MTAP II,EU Share,"EIA, Construction of 20,000m3 earth pan & fencing, 3 No. 2 Door VIP Latrines with hand washing tanks, 2No. 10m3 Rain water Harvesting tanks and cattle trough.",water_resources,water_resources_management_structures,n/a,n/a,n/a,yes,42005,yes,Fair,Non_operational,yes,Rare_or_Not,Poor,Poor,no,n/a,n/a,n/a,n/a,n/a,Permanently_dry,unknown,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10816255?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548764180065.jpg,3.359838738,38.34775871,666,5
Marsabit,RIP,Funan qumbi water & sanitation project,2016/2017,MTAP II,EU Share,"EIA, Construction of 20,000m3 earth pan & fencing, 3 No. 2 Door VIP Latrines with hand washing tanks, 2No. 10m3 Rain water Harvesting tanks and cattle trough.",water_resources,catchment_management,n/a,n/a,n/a,yes,42005,yes,Fair,Non_operational,yes,n/a,Poor,Poor,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10816285?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548763813297.jpg,3.3598796,38.3481954,661,6
Marsabit,RIP,Funan qumbi water & sanitation project,2016/2017,MTAP II,EU Share,"EIA, Construction of 20,000m3 earth pan & fencing, 3 No. 2 Door VIP Latrines with hand washing tanks, 2No. 10m3 Rain water Harvesting tanks and cattle trough.",water_resources,water_resources_management_structures,n/a,n/a,n/a,yes,42005,yes,Fair,Non_operational,no,Seasonal,Fair,Fair,no,n/a,n/a,n/a,n/a,n/a,Limited,Poor,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10816289?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548764897136.jpg,3.367757918,38.35236657,666,6
Kiambu,UIP,Gachie Water Project,2014/2015,UPC,KfW,"1 Kiosk, 15714 M pipe, 150 Consumer Meters, 31 Bulk Meters,5 YT, 1 Tank",water_supply,distribution_system,water_kiosk,n/a,n/a,yes,41883,yes,Fair,Operational,no,Seasonal,Fair,Good,yes,Individual,Women,46000,n/a,n/a,Shortages,Good,Days_per_Month,n/a,8_16,n/a,FALSE,FALSE,FALSE,http://classic.ona.io/api/v1/files/10816404?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548687817403.jpg,-1.222913177,36.7809754,1758,6
Kiambu,UIP,Gachie Water Project,2014/2015,UPC,KfW,"1 Kiosk, 15714 M pipe, 150 Consumer Meters, 31 Bulk Meters,5 YT, 1 Tank",water_supply,storage_tank,sectional_steel_tank,n/a,n/a,yes,41883,yes,Good,Operational,no,Regular,Good,Good,n/a,n/a,n/a,n/a,n/a,n/a,Enough,Very_good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10816406?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548684787874.jpg,-1.216109376,36.76823541,1765,6
Kiambu,UIP,Gachie Water Project,2014/2015,UPC,KfW,"1 Kiosk, 15714 M pipe, 150 Consumer Meters, 31 Bulk Meters,5 YT, 1 Tank",water_supply,distribution_system,yard_tap,n/a,n/a,yes,42217,no,n/a,Non_operational,no,Seasonal,Fair,Fair,n/a,n/a,n/a,0,n/a,n/a,Permanently_dry,unknown,Months_per_Year,n/a,n/a,9_12,FALSE,FALSE,FALSE,http://classic.ona.io/api/v1/files/10816410?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548686370563.jpg,-1.217857674,36.7662447,1757,6
Kiambu,UIP,Gachie Water Project,2014/2015,UPC,KfW,"1 Kiosk, 15714 M pipe, 150 Consumer Meters, 31 Bulk Meters,5 YT, 1 Tank",water_supply,distribution_system,bulk_meter,n/a,n/a,yes,41883,n/a,n/a,Non_operational,no,n/a,Good,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10816417?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548685126904.jpg,-1.216084692,36.76831495,1762,6
Tana River,RIP,Dhida Community Water,2015/2016,MTAP II,EU Share,"Eia, 30,000m3 Water Pan, 2No. Water Troughs & Training",sanitation,community_sanitation_facility,n/a,vip_latrine_regular,vip_latrine_regular,yes,42552,yes,Good,Operational,no,n/a,Good,Good,n/a,n/a,n/a,250,Good,no,n/a,n/a,n/a,n/a,n/a,n/a,FALSE,TRUE,FALSE,http://classic.ona.io/api/v1/files/10816568?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548691161500.jpg,-0.509143333,39.47925,269.7,2.3
Tana River,RIP,Dhida Community Water,2015/2016,MTAP II,EU Share,"Eia, 30,000m3 Water Pan, 2No. Water Troughs & Training",water_supply,intake_water_source,water_pan,n/a,n/a,yes,42644,yes,Good,Temporarily_stopped,yes,Seasonal,Fair,Fair,n/a,n/a,n/a,n/a,n/a,n/a,Limited,unknown,Months_per_Year,n/a,n/a,3_6,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10816573?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548830547232.jpg,-0.50895,39.48565167,261.3,3.8
Tana River,RIP,Dhida Community Water,2015/2016,MTAP II,EU Share,"Eia, 30,000m3 Water Pan, 2No. Water Troughs & Training",water_supply,distribution_system,animal_trough_others,n/a,n/a,yes,42491,no,n/a,Non_operational,yes,Seasonal,Good,Good,no,n/a,n/a,n/a,n/a,n/a,Limited,unknown,Months_per_Year,n/a,n/a,3_6,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10816574?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548830439430.jpg,-0.507791667,39.484895,253.9,2.9
Tana River,RIP,Dhida Community Water,2015/2016,MTAP II,EU Share,"Eia, 30,000m3 Water Pan, 2No. Water Troughs & Training",water_supply,building,fencing,n/a,n/a,yes,42644,no,n/a,Partially_operational,yes,n/a,Fair,Fair,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10816575?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548830923018.jpg,-0.507798333,39.48515667,249.6,3.6
Tana River,RIP,Dhida Community Water,2015/2016,MTAP II,EU Share,"Eia, 30,000m3 Water Pan, 2No. Water Troughs & Training",water_supply,distribution_system,animal_trough_camels,n/a,n/a,yes,42491,no,n/a,Non_operational,yes,Seasonal,Fair,Poor,no,n/a,n/a,n/a,n/a,n/a,Limited,unknown,Months_per_Year,n/a,n/a,3_6,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10816576?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548830859920.jpg,-0.507981667,39.48499,250.6,4.4
Tana River,RIP,Dhida Community Water,2015/2016,MTAP II,EU Share,"Eia, 30,000m3 Water Pan, 2No. Water Troughs & Training",sanitation,community_sanitation_facility,n/a,vip_latrine_regular,vip_latrine_regular,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-0.507885,39.48507167,251.7,2.6
Tana River,RIP,Chardende Dispensary,2014/2015,MTAP I,Danida,"1 No. Two-Door Vip Latrine, Rain Water Harvesting Unit With 1 No. 10,000 Litre Plastic Tank",sanitation,institutional_sanitation,n/a,vip_latrine_regular,vip_latrine_regular,yes,42644,yes,Fair,Operational,yes,n/a,Good,Good,n/a,n/a,n/a,2,Good,no,n/a,n/a,n/a,n/a,n/a,n/a,FALSE,TRUE,FALSE,http://classic.ona.io/api/v1/files/10816580?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548837258337.jpg,-0.785903333,39.66938333,157.8,3.7
Tana River,RIP,Nanighi Primary School,2013/2014,MTAP I,Danida,"Two, 2 Door, Vip Latrines and Branding",sanitation,institutional_sanitation,n/a,vip_latrine_regular,vip_latrine_regular,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-0.851493333,39.83374333,97.8,3
Tana River,RIP,Chardende Dispensary,2014/2015,MTAP I,Danida,"1 No. Two-Door Vip Latrine, Rain Water Harvesting Unit With 1 No. 10,000 Litre Plastic Tank",water_supply,rainwater_harvesting,roof_catchment,n/a,n/a,yes,41760,n/a,n/a,Non_operational,yes,n/a,Fair,Fair,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10816581?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548836794239.jpg,-0.786503333,39.669285,172.7,2.5
Tana River,RIP,Sala Primary School,2013/2014,MTAP I,Danida,"2 No.2 Door Vip Latrine, 920 Lts Handwashing Tank and Branding",sanitation,institutional_sanitation,n/a,vip_latrine_regular,vip_latrine_regular,yes,41821,yes,Fair,Operational,yes,n/a,Fair,Fair,n/a,n/a,n/a,320,Poor,no,n/a,n/a,n/a,n/a,n/a,n/a,FALSE,TRUE,FALSE,http://classic.ona.io/api/v1/files/10816582?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548844347996.jpg,-0.618685,39.76632333,135.7,4.6
Tana River,RIP,Sala Primary School,2013/2014,MTAP I,Danida,"2 No.2 Door Vip Latrine, 920 Lts Handwashing Tank and Branding",sanitation,institutional_sanitation,n/a,vip_latrine_regular,vip_latrine_regular,yes,41821,yes,Fair,Operational,yes,n/a,Fair,Fair,n/a,n/a,n/a,320,Poor,no,n/a,n/a,n/a,n/a,n/a,n/a,FALSE,TRUE,FALSE,http://classic.ona.io/api/v1/files/10816583?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548844633373.jpg,-0.618763333,39.76632333,135.8,4.6
Tana River,RIP,Sombo Dispensary,2014/2015,MTAP I,Danida,1 No. Two Door Vip Latrines For Staff,sanitation,institutional_sanitation,n/a,vip_latrine_regular,vip_latrine_regular,yes,41760,yes,Fair,Operational,no,n/a,Good,Good,n/a,n/a,n/a,10,Good,no,n/a,n/a,n/a,n/a,n/a,n/a,FALSE,TRUE,FALSE,http://classic.ona.io/api/v1/files/10816585?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548846857666.jpg,-0.593166667,39.69659833,140.5,4
Transnzoia,UIP,Nzoia Kitale Household Sanitation Project Phase II,2017/2018,UBSUP,KfW / The Gates Foundation,300 Toilets,sanitation,household_sanitation,n/a,pour_flush,pour_flush,yes,43466,yes,Good,Operational,no,n/a,Good,Good,n/a,n/a,n/a,31,Fair,yes,n/a,n/a,n/a,n/a,n/a,n/a,FALSE,TRUE,TRUE,http://classic.ona.io/api/v1/files/10817266?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548753058949.jpg,1.034708333,34.98530667,1830.9,5.1
Nandi,RIP,Kimngâ€™oror Water Users association,2017/2018,J6P,"GoS, GoF","High lift pump,2No. 50m3 masonry tanks,13.2km pipeline,1 No.  CFU,4 No. water kiosks, 200 No. Consumer meters

",water_supply,distribution_system,consumer_meter,n/a,n/a,yes,43344,n/a,n/a,Operational,no,n/a,Good,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10817270?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548846834701.jpg,0.493476667,34.94661667,1991,5.9
Nandi,RIP,Lelmokwo Sanitation project,2017/2018,J6P,"GoS, GoF",10No. 2 door VIP latrine in 6 schools,sanitation,institutional_sanitation,n/a,vip_latrine_regular,vip_latrine_regular,yes,43221,yes,Good,Operational,no,n/a,Fair,Fair,n/a,n/a,n/a,50,Fair,yes,n/a,n/a,n/a,n/a,n/a,n/a,FALSE,TRUE,TRUE,http://classic.ona.io/api/v1/files/10817274?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548860473311.jpg,0.321383333,35.16862,2104.4,4.4
Tharaka Nithi,RIP,Augmentation of Murugi Mugumango,2017/2018,J6P,"GoS, GoF","1865 no. consumer meters,1 no. meter testing equipment
",water_supply,distribution_system,consumer_meter,n/a,n/a,yes,42767,n/a,n/a,Operational,no,n/a,Good,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10818108?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548833511930.jpg,-0.26044,37.72725167,1154.3,5.9
Tharaka Nithi,RIP,Augmentation of Murugi Mugumango,2017/2018,J6P,"GoS, GoF","1865 no. consumer meters,1 no. meter testing equipment
",water_supply,distribution_system,consumer_meter,n/a,n/a,yes,42767,n/a,n/a,Temporarily_stopped,no,n/a,Good,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10818109?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548834062119.jpg,-0.26262,37.72876,1155.3,5.9
Tharaka Nithi,RIP,Augmentation of Murugi Mugumango,2017/2018,J6P,"GoS, GoF","1865 no. consumer meters,1 no. meter testing equipment
",water_supply,distribution_system,consumer_meter,n/a,n/a,yes,42767,n/a,n/a,Operational,no,n/a,Good,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10818110?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548834335652.jpg,-0.262205,37.72980333,1155,4.2
Tharaka Nithi,RIP,Augmentation of Murugi Mugumango,2017/2018,J6P,"GoS, GoF","1865 no. consumer meters,1 no. meter testing equipment
",water_supply,distribution_system,consumer_meter,n/a,n/a,yes,42767,n/a,n/a,Operational,no,n/a,Good,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10818112?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548835147642.jpg,-0.267613333,37.73387,1141.2,3.8
Tharaka Nithi,RIP,Kamwene Water Project,2017/2018,J6P,"GoS, GoF"," 21Km pipeline,18 No. Valve chambers,1 No. 100m3 masonry tank,750 No. consumer,
",water_supply,distribution_system,consumer_meter,n/a,n/a,yes,43070,n/a,n/a,Operational,no,n/a,Good,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://classic.ona.io/api/v1/files/10818113?filename=upande/attachments/341919_wstf_investment_monitoring_08_2018/1548858158146.jpg,-0.296566667,37.66855333,1376.1,4.7
